item,objecttitel,floruit,itemLabel,objectsoortLabel,beroepLabel,collectieLabel,werklocatieLabel,qid
http://www.wikidata.org/entity/Q135241352,"Blad met de wapens van Nederlandse provincies, provinciehoofdsteden en andere steden en rijksdelen overzee, vervaardigd bij het zilveren regeringsjubileum van Koningin Wilhelmina",1923,L. van Leer,prent,lithograaf,Het Scheepvaartmuseum,,Q135241352
http://www.wikidata.org/entity/Q135241354,Bouwplaat voor een papieren model van IJmuider trawler YM 60,,Léon Schuijt,bouwplaat,tekenaar,Het Scheepvaartmuseum,Alkmaar,Q135241354
http://www.wikidata.org/entity/Q135241351,Stukken over het motorzeiljacht 'Delmar',,L. ten Cate,brief,schrijver,Het Scheepvaartmuseum,,Q135241351
http://www.wikidata.org/entity/Q135241350,"Een tonnagemeter, een zogenaamd 'Muller-accuraat'",1920,L. Muller,tonnagemeter,ontwerper,Het Scheepvaartmuseum,Gorinchem,Q135241350
http://www.wikidata.org/entity/Q135300132,Lijnenplan van een open zeeschouw van 10 m,,Bert Karssiens,technische tekening,ontwerper,Het Scheepvaartmuseum,,Q135300132
http://www.wikidata.org/entity/Q135300135,Langs- en twee dwarsdoorsneden van de Schotse ketel met twee vuurhaarden van [.],,Bryce D,technische tekening,,Het Scheepvaartmuseum,,Q135300135
http://www.wikidata.org/entity/Q135300122,Scheepvaart op een rede,,B. Koker,tekening,tekenaar,Het Scheepvaartmuseum,,Q135300122
http://www.wikidata.org/entity/Q135241336,"Bootsmansfluit, messing van messing vernikkeld",1912,Julius Zimmermann,aerofoon,producent,Het Scheepvaartmuseum,Leipzig,Q135241336
http://www.wikidata.org/entity/Q135241339,Diverse doorsneden en aanzichten van een dekstopper (kettingstopper) van de rammonitor 1ste klasse Zr.Ms. 'Draak',,K. de Wit,technische tekening,ingenieur,Het Scheepvaartmuseum,Amsterdam,Q135241339
http://www.wikidata.org/entity/Q135241333,Oorkonde met aangehechte onderscheiding,,Josef Ribelles,oorkonde,tekenaar,Het Scheepvaartmuseum,,Q135241333
