"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135300288","Een serie van zes blanco menukaarten van de SMN","F. E. Hamers Dukkers","menukaart","grafisch ontwerper","Het Scheepvaartmuseum","1954","","Q135300288"
"http://www.wikidata.org/entity/Q135300285","Lijnenplan van het motorjacht 'Jimax'","Edwin Monk","technische tekening","scheepsarchitect","Het Scheepvaartmuseum","","Seattle","Q135300285"
"http://www.wikidata.org/entity/Q135300287","Grootboek van de firma E. Haubrich","Ernst Haubrich","grootboek","","Het Scheepvaartmuseum","","Rotterdam","Q135300287"
"http://www.wikidata.org/entity/Q135300277","Scheepvaart op een rede","E. van Noorde","tekening","tekenaar","Het Scheepvaartmuseum","","","Q135300277"
"http://www.wikidata.org/entity/Q135300278","Album met fotos van de deelneemsters aan een roei- en zeilkamp voor meisjes","E. Voorbeytel","fotoalbum","fotograaf","Het Scheepvaartmuseum","1937","","Q135300278"
"http://www.wikidata.org/entity/Q135300268","Multoband met foto's van het interieur en exterieur van 's Lands Zeemagazijn","E. Spreken","fotoalbum","fotograaf","Het Scheepvaartmuseum","","","Q135300268"
"http://www.wikidata.org/entity/Q135300270","Het schroefstoomschip 1ste klasse Zr.Ms. ""Metalen Kruis""","E. Swanen","textielschilderij","textielkunstenaar","Het Scheepvaartmuseum","1850","","Q135300270"
"http://www.wikidata.org/entity/Q135300264","Album met fotos van de deelneemsters aan een roei- en zeilkamp voor meisjes","E. Moret","fotoalbum","fotograaf","Het Scheepvaartmuseum","1937","Kaag","Q135300264"
"http://www.wikidata.org/entity/Q135300248","Het bombardement van Tanger","De Ruiter","tekening","tekenaar","Het Scheepvaartmuseum","1847","","Q135300248"
"http://www.wikidata.org/entity/Q135300236","Factuur van van Daniel Morgan voor G. Brüning & Zoon te Amsterdam","Daniel Morgan","factuur","","Het Scheepvaartmuseum","","Nantes","Q135300236"
